gameDuration;firstBlood;firstTower;firstInhibitor;firstBaron;firstDragon;firstRiftHerald;t1_towerKills;t1_inhibitorKills;t1_baronKills;t1_dragonKills;t1_riftHeraldKills;t2_towerKills;t2_inhibitorKills;t2_baronKills;t2_dragonKills;t2_riftHeraldKills;winner
1949;2;1;1;1;1;2;11;1;2;3;0;5;0;0;1;1;1
1851;1;1;1;0;1;1;10;4;0;2;1;2;0;0;0;0;1
1493;2;1;1;1;2;0;8;1;1;1;0;2;0;0;1;0;1
1758;1;1;1;1;1;0;9;2;1;2;0;0;0;0;0;0;1
2094;2;1;1;1;1;0;9;2;1;3;0;3;0;0;1;0;1
2059;2;2;1;1;2;0;8;1;1;1;0;6;0;0;3;0;1
1993;1;2;1;1;1;1;10;2;1;2;1;2;0;0;0;0;1
1334;1;1;0;0;2;1;6;0;0;0;1;0;0;0;2;0;1
1387;2;2;2;0;2;2;0;0;0;0;0;8;1;0;2;1;2
2681;2;2;2;2;2;0;10;1;0;2;0;8;3;1;2;0;2
1391;2;2;2;2;2;2;0;0;0;1;0;10;2;1;1;1;2
1671;1;2;1;0;2;1;10;1;0;0;1;2;0;0;2;0;1
2071;1;1;0;1;2;1;6;0;1;2;1;3;0;0;1;0;1
1942;2;2;1;0;1;0;7;1;0;1;0;3;0;0;2;0;1
2374;2;2;1;1;2;0;8;1;1;2;0;9;2;0;2;0;2
1717;2;1;1;0;1;0;7;1;0;2;0;0;0;0;0;0;1
2390;2;2;2;2;2;0;3;0;0;1;0;9;3;2;4;0;2
1994;2;1;1;1;1;1;11;6;1;2;1;2;0;0;0;0;1
1513;1;2;2;0;2;0;0;0;0;0;0;11;3;0;2;0;2
1898;1;2;2;2;1;1;4;0;0;3;1;11;2;1;1;0;2
2026;1;1;1;2;1;2;5;1;0;1;0;11;3;1;2;1;2
1962;1;2;2;2;1;0;2;0;0;1;0;9;1;1;2;0;2
1511;1;2;2;0;2;0;2;0;0;0;0;10;2;0;2;0;2
1756;1;1;1;1;1;1;11;3;1;3;1;2;0;0;0;0;1
2173;2;2;2;0;1;0;2;0;0;1;0;11;3;0;0;0;2
2211;2;2;2;0;2;1;2;0;0;0;1;10;2;0;3;0;2
2472;2;2;1;1;2;2;10;3;1;2;0;10;2;1;3;1;2
1342;2;2;0;0;2;0;0;0;0;0;0;5;0;0;2;0;2
2288;1;2;2;2;2;2;4;0;0;1;0;7;2;1;3;1;2
1899;1;1;1;1;1;1;10;3;1;2;1;2;0;0;1;0;1
1597;2;1;2;2;1;1;4;0;0;2;1;9;1;1;0;0;2
1649;1;1;1;2;1;0;9;2;0;2;0;0;0;1;0;0;1
1894;1;1;1;2;1;0;10;2;0;2;0;1;0;1;1;0;1
2473;1;2;2;2;2;0;11;3;1;2;0;7;1;1;3;0;1
2452;1;1;2;2;1;1;3;0;0;3;1;11;3;1;1;0;2
1478;2;2;2;0;2;0;1;0;0;0;0;11;3;0;1;0;2
1505;2;2;2;0;2;0;2;0;0;0;0;10;2;0;2;0;2
2112;1;1;1;0;1;0;10;2;0;2;0;0;0;0;1;0;1
2054;2;1;1;0;1;0;10;2;0;4;0;3;0;0;0;0;1
1349;2;1;1;0;1;1;8;1;0;2;1;0;0;0;0;0;1
2309;2;1;2;2;1;2;5;0;0;3;0;10;1;2;1;1;2
1329;2;2;2;0;2;2;0;0;0;0;0;11;3;0;1;1;2
1800;2;1;1;1;1;1;8;1;1;2;1;4;0;0;1;0;1
932;2;2;2;0;2;0;0;0;0;0;0;6;1;0;1;0;2
2166;1;2;1;1;1;1;6;3;1;2;1;8;1;1;1;0;2
1994;1;2;1;0;2;0;9;2;0;2;0;2;0;0;1;0;1
2048;1;2;1;2;2;2;8;2;1;1;0;2;0;1;1;1;1
1461;2;2;2;0;2;1;2;0;0;0;1;8;2;0;2;0;2
2302;2;1;2;2;2;2;4;0;0;0;0;9;2;1;3;1;2
2237;2;2;1;1;1;2;7;1;1;2;0;9;1;1;1;1;2
2555;1;1;2;1;1;1;5;1;1;4;1;11;4;1;1;0;2
1026;1;1;1;0;1;0;9;2;0;1;0;1;0;0;0;0;1
1303;2;2;2;2;2;2;1;0;0;0;0;7;1;1;2;1;2
1843;1;1;1;0;1;1;11;4;0;3;1;0;0;0;0;0;1
1691;1;2;2;1;1;2;4;0;1;1;0;7;1;0;2;1;2
1875;1;1;1;0;2;0;11;3;0;1;0;1;0;0;1;0;1
1413;2;2;2;2;2;2;1;0;0;0;0;9;1;1;2;1;2
1682;1;1;1;1;2;1;9;2;1;1;1;0;0;0;1;0;1
1640;2;2;2;0;2;0;1;0;0;0;0;9;2;0;2;0;2
1925;1;1;1;1;1;0;7;1;1;2;0;2;0;0;0;0;1
1816;1;2;1;1;1;1;11;4;1;3;1;1;0;0;0;0;1
1070;1;1;1;0;1;1;10;2;0;2;1;0;0;0;0;0;1
1633;2;2;2;2;2;2;0;0;0;0;0;10;3;1;3;1;2
2169;2;2;2;0;1;1;4;0;0;2;1;8;1;0;2;0;2
1261;1;1;0;0;1;1;4;0;0;1;1;0;0;0;0;0;1
2493;1;1;1;0;2;0;10;2;0;3;0;2;0;0;1;0;1
2259;2;1;1;1;2;2;10;3;2;2;0;4;0;0;3;1;1
1697;1;2;2;2;2;0;1;0;0;0;0;7;1;1;2;0;2
1723;2;1;1;1;1;0;11;3;1;1;0;1;0;0;0;0;1
1643;1;2;2;2;2;2;1;0;0;0;0;11;3;1;2;1;2
2187;1;2;2;2;2;2;4;0;0;0;0;10;2;1;4;1;2
1590;2;1;1;1;2;1;9;2;1;1;1;1;0;0;1;0;1
1638;1;1;1;1;1;1;11;3;1;3;1;1;0;0;0;0;1
2147;1;2;2;2;2;0;6;0;0;0;0;10;2;1;3;0;2
1296;2;1;0;0;2;0;1;0;0;1;0;2;0;0;1;0;1
2634;2;2;2;1;1;0;9;1;2;3;0;8;1;0;2;0;1
963;1;1;0;0;0;0;4;0;0;0;0;1;0;0;0;0;1
2929;1;1;2;1;1;1;5;0;1;4;1;10;1;0;1;0;2
2097;2;1;1;1;1;1;11;3;1;3;1;1;0;0;1;0;1
2051;2;2;1;1;1;2;5;1;1;2;0;4;0;0;0;1;1
1707;2;1;1;1;1;2;10;2;1;1;0;1;0;0;0;1;1
1934;2;2;2;2;2;2;0;0;0;0;0;8;2;1;3;1;2
1451;1;1;0;0;2;0;3;0;0;0;0;1;0;0;1;0;1
1257;2;2;2;0;1;0;2;0;0;1;0;5;1;0;1;0;2
1789;2;1;1;1;2;0;7;1;1;1;0;2;0;0;2;0;1
1311;1;1;0;0;1;0;4;0;0;2;0;0;0;0;0;0;1
2218;1;1;2;1;1;0;5;0;1;3;0;9;1;1;2;0;2
1469;2;1;1;1;1;0;7;1;1;1;0;1;0;0;0;0;1
1543;1;2;2;2;2;2;2;0;0;0;0;11;3;1;3;1;2
2149;1;1;1;0;1;1;11;3;0;4;1;1;0;0;0;0;1
